"lp.","imię i nazwisko","wykształcenie","lista","nr okręgu","miasto","głosy"
1,"Andrzej Adamczyk","wyższe","Prawo i Sprawiedliwość",13,"Kraków",45171
2,"Piotr Adamowicz","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",23147
3,"Adam Andruszkiewicz","wyższe","Prawo i Sprawiedliwość",24,"Białystok",53632
4,"Waldemar Andzel","wyższe","Prawo i Sprawiedliwość",32,"Katowice",22699
5,"Dorota Arciszewska-Mielewczyk","wyższe","Prawo i Sprawiedliwość",26,"Słupsk",11766
6,"Jan Krzysztof Ardanowski","wyższe","Prawo i Sprawiedliwość",5,"Toruń",28658
7,"Iwona Ewa Arent","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",16675
8,"Bartosz Arłukowicz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",40,"Koszalin",67325
9,"Marek Ast","wyższe","Prawo i Sprawiedliwość",8,"Zielona Góra",36365
10,"Urszula Augustyn","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",15,"Tarnów",27047
11,"Piotr Babinetz","wyższe","Prawo i Sprawiedliwość",22,"Krosno",12829
12,"Ryszard Bartosik","wyższe","Prawo i Sprawiedliwość",37,"Konin",25371
13,"Władysław Bartoszewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",19,"Warszawa",34563
14,"Barbara Bartuś","wyższe","Prawo i Sprawiedliwość",14,"Nowy Sącz",21250
15,"Paweł Bejda","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",11,"Sieradz",25363
16,"Konrad Berkowicz","wyższe","Konfederacja Wolność i Niepodległość",13,"Kraków",36918
17,"Sylwia Bielawska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",2,"Wałbrzych",17577
18,"Marek Biernacki","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",26,"Słupsk",34369
19,"Paweł Bliźniuk","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",9,"Łódź",12315
20,"Mariusz Błaszczak","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",127578
21,"Mateusz Bochenek","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",32,"Katowice",15117
22,"Rafał Bochenek","wyższe","Prawo i Sprawiedliwość",12,"Kraków",42142
23,"Izabela Bodnar","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",3,"Wrocław",26404
24,"Jacek Bogucki","wyższe","Prawo i Sprawiedliwość",24,"Białystok",12032
25,"Zbigniew Bogucki","wyższe","Prawo i Sprawiedliwość",41,"Szczecin",26375
26,"Krzysztof Bojarski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",6,"Lublin",10672
27,"Joanna Borowiak","wyższe","Prawo i Sprawiedliwość",5,"Toruń",25995
28,"Kamil Bortniczuk","wyższe","Prawo i Sprawiedliwość",16,"Płock",31555
29,"Piotr Borys","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",44912
30,"Bożena Borys-Szopa","wyższe","Prawo i Sprawiedliwość",29,"Katowice",30445
31,"Marcin Bosacki","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",24197
32,"Karina Anna Bosak","wyższe","Konfederacja Wolność i Niepodległość",20,"Warszawa",21217
33,"Krzysztof Bosak","średnie ogólne","Konfederacja Wolność i Niepodległość",24,"Białystok",44902
34,"Grzegorz Braun","wyższe","Konfederacja Wolność i Niepodległość",23,"Rzeszów",26895
35,"Krzysztof Brejza","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",4,"Bydgoszcz",89840
36,"Agnieszka Buczyńska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",25,"Gdańsk",35213
37,"Waldemar Buda","wyższe","Prawo i Sprawiedliwość",9,"Łódź",45474
38,"Borys Budka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",31,"Katowice",101258
39,"Elżbieta Burkiewicz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",23,"Rzeszów",11582
40,"Lidia Burzyńska","wyższe","Prawo i Sprawiedliwość",28,"Częstochowa",49713
41,"Marek Jan Chmielewski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",2,"Wałbrzych",9108
42,"Zbigniew Chmielowiec","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",18574
43,"Artur Chojecki","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",17418
44,"Kazimierz Bogusław Choma","wyższe","Prawo i Sprawiedliwość",6,"Lublin",8363
45,"Dominika Chorosińska","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",9582
46,"Tadeusz Chrzan","wyższe","Prawo i Sprawiedliwość",22,"Krosno",12184
47,"Alicja Chybicka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",78816
48,"Anna Ewa Cicholska","wyższe","Prawo i Sprawiedliwość",16,"Płock",19074
49,"Janusz Cichoń","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",35,"Olsztyn",32356
50,"Krzysztof Ciecióra","wyższe","Prawo i Sprawiedliwość",10,"Piotrków Trybunalski",10426
51,"Janusz Cieszyński","wyższe","Prawo i Sprawiedliwość",35,"Olsztyn",20644
52,"Michał Cieślak","wyższe","Prawo i Sprawiedliwość",33,"Kielce",5629
53,"Żaneta Cwalina-Śliwowska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",18,"Siedlce",9747
54,"Krzysztof Czarnecki","średnie zawodowe","Prawo i Sprawiedliwość",38,"Piła",37420
55,"Witold Wojciech Czarnecki","wyższe","Prawo i Sprawiedliwość",37,"Konin",17601
56,"Przemysław Czarnek","wyższe","Prawo i Sprawiedliwość",6,"Lublin",121686
57,"Arkadiusz Czartoryski","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",15845
58,"Włodzimierz Czarzasty","wyższe","Nowa Lewica",32,"Katowice",22332
59,"Jacek Czerniak","wyższe","Nowa Lewica",6,"Lublin",10910
60,"Zofia Czernow","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",30258
61,"Anita Czerwińska","wyższe","Prawo i Sprawiedliwość",20,"Warszawa",18443
62,"Katarzyna Czochara","wyższe","Prawo i Sprawiedliwość",21,"Opole",20004
63,"Sławomir Ćwik","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",7,"Chełm",8004
64,"Władysław Dajczak","wyższe","Prawo i Sprawiedliwość",8,"Zielona Góra",29131
65,"Anna Dąbrowska-Banaszek","wyższe","Prawo i Sprawiedliwość",7,"Chełm",13910
66,"Zbigniew Dolata","wyższe","Prawo i Sprawiedliwość",37,"Konin",25663
67,"Barbara Dolniak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",32,"Katowice",37470
68,"Andrzej Domański","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",6848
69,"Bartłomiej Dorywalski","wyższe","Prawo i Sprawiedliwość",33,"Kielce",9696
70,"Robert Dowhan","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",8,"Zielona Góra",14761
71,"Przemysław Drabek","wyższe","Prawo i Sprawiedliwość",27,"Bielsko-Biała",17886
72,"Elżbieta Duda","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",13,"Kraków",11388
73,"Michał Paweł Dworczyk","wyższe","Prawo i Sprawiedliwość",2,"Wałbrzych",40264
74,"Adam Dziedzic","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",23,"Rzeszów",24304
75,"Jan Michał Dziedziczak","wyższe","Prawo i Sprawiedliwość",36,"Kalisz",14689
76,"Agnieszka Dziemianowicz-Bąk","wyższe","Nowa Lewica",26,"Słupsk",30631
77,"Magdalena Filiks","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",41,"Szczecin",40772
78,"Magdalena Filipek-Sobczak","wyższe","Prawo i Sprawiedliwość",6,"Lublin",10480
79,"Radosław Fogiel","średnie ogólne","Prawo i Sprawiedliwość",17,"Radom",32791
80,"Bronisław Foltyn","wyższe","Konfederacja Wolność i Niepodległość",27,"Bielsko-Biała",18134
81,"Roman Fritz","wyższe","Konfederacja Wolność i Niepodległość",30,"Bielsko-Biała",11089
82,"Joanna Frydrych","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",22,"Krosno",29681
83,"Konrad Frysztak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",17,"Radom",25416
84,"Patryk Gabriel","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",11201
85,"Krzysztof Gadowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",30,"Bielsko-Biała",36031
86,"Aleksandra Gajewska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",49428
87,"Kinga Gajewska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",20,"Warszawa",85283
88,"Elżbieta Gapińska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",16,"Płock",13214
89,"Kamila Gasiuk-Pihowicz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",18,"Siedlce",57609
90,"Krzysztof Gawkowski","wyższe","Nowa Lewica",4,"Bydgoszcz",21831
91,"Zdzisław Gawlik","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",23,"Rzeszów",7054
92,"Andrzej Gawron","wyższe","Prawo i Sprawiedliwość",28,"Częstochowa",13239
93,"Grzegorz Gaża","wyższe","Prawo i Sprawiedliwość",27,"Bielsko-Biała",11940
94,"Elżbieta Gelert","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",34,"Elbląg",15847
95,"Anna Gembicka","wyższe","Prawo i Sprawiedliwość",5,"Toruń",25993
96,"Artur Daniel Gierada","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",33,"Kielce",16878
97,"Roman Giertych","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",33,"Kielce",23622
98,"Włodzisław Giziński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",4,"Bydgoszcz",13630
99,"Szymon Giżyński","wyższe","Prawo i Sprawiedliwość",28,"Częstochowa",14148
100,"Piotr Gliński","wyższe","Prawo i Sprawiedliwość",19,"Warszawa",135339
101,"Tomasz Głogowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",29,"Katowice",11463
102,"Piotr Głowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",38,"Piła",16067
103,"Marta Golbik","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",29,"Katowice",19430
104,"Małgorzata Golińska","wyższe","Prawo i Sprawiedliwość",40,"Koszalin",15253
105,"Kazimierz Gołojuch","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",14216
106,"Adam Gomoła","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",21,"Opole",21923
107,"Robert Gontarz","wyższe","Prawo i Sprawiedliwość",34,"Elbląg",24940
108,"Stanisław Gorczyca","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",34,"Elbląg",7979
109,"Mariusz Gosek","wyższe","Prawo i Sprawiedliwość",33,"Kielce",5309
110,"Daria Gosek-Popiołek","wyższe","Nowa Lewica",13,"Kraków",39054
111,"Małgorzata Gosiewska","średnie ogólne","Prawo i Sprawiedliwość",19,"Warszawa",36523
112,"Piotr Górnikiewicz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",15,"Tarnów",5180
113,"Agnieszka Górska","wyższe","Prawo i Sprawiedliwość",17,"Radom",11494
114,"Krzysztof Grabczuk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",7,"Chełm",32985
115,"Jan Grabiec","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",20,"Warszawa",71534
116,"Marcin Grabowski","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",10339
117,"Michał Gramatyka","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",31,"Katowice",32251
118,"Małgorzata Gromadzka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",7,"Chełm",10710
119,"Marek Gróbarczyk","wyższe","Prawo i Sprawiedliwość",41,"Szczecin",44422
120,"Andrzej Grzyb","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",36,"Kalisz",29391
121,"Andrzej Gut-Mostowy","wyższe","Prawo i Sprawiedliwość",14,"Nowy Sącz",16467
122,"Kazimierz Gwiazdowski","średnie zawodowe","Prawo i Sprawiedliwość",24,"Białystok",11898
123,"Marcin Gwóźdź","wyższe","Prawo i Sprawiedliwość",2,"Wałbrzych",23434
124,"Marek Gzik","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",29,"Katowice",19070
125,"Krzysztof Habura","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",11,"Sieradz",11267
126,"Agnieszka Hanajczyk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",11,"Sieradz",16865
127,"Iwona Hartwich","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",5,"Toruń",17889
128,"Paulina Hennig-Kloska","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",37,"Konin",30334
129,"Krzysztof Hetman","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",6,"Lublin",28876
130,"Czesław Hoc","wyższe","Prawo i Sprawiedliwość",40,"Koszalin",31360
131,"Zbigniew Hoffmann","wyższe","Prawo i Sprawiedliwość",37,"Konin",47594
132,"Marek Tomasz Hok","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",40,"Koszalin",8176
133,"Szymon Hołownia","średnie ogólne","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",24,"Białystok",79951
134,"Marcin Horała","wyższe","Prawo i Sprawiedliwość",26,"Słupsk",47974
135,"Łukasz Horbatowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",13934
136,"Paweł Hreniak","wyższe","Prawo i Sprawiedliwość",3,"Wrocław",19384
137,"Paweł Jabłoński","wyższe","Prawo i Sprawiedliwość",30,"Bielsko-Biała",22996
138,"Klaudia Jachira","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",9172
139,"Marek Jakubiak","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",19,"Warszawa",39151
140,"Maria Małgorzata Janyska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",38,"Piła",23592
141,"Michał Jaros","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",3,"Wrocław",30512
142,"Patryk Jaskulski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",41,"Szczecin",7439
143,"Danuta Jazłowiecka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",21,"Opole",11580
144,"Dariusz Joński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",9,"Łódź",87470
145,"Marcin Józefaciuk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",9,"Łódź",8893
146,"Norbert Jakub Kaczmarczyk","wyższe","Prawo i Sprawiedliwość",15,"Tarnów",11926
147,"Filip Kaczyński","wyższe","Prawo i Sprawiedliwość",12,"Kraków",18285
148,"Jarosław Kaczyński","wyższe","Prawo i Sprawiedliwość",33,"Kielce",177228
149,"Piotr Kaleta","wyższe","Prawo i Sprawiedliwość",36,"Kalisz",16344
150,"Sebastian Kaleta","wyższe","Prawo i Sprawiedliwość",19,"Warszawa",31369
151,"Mariusz Kałużny","wyższe","Prawo i Sprawiedliwość",5,"Toruń",19072
152,"Mariusz Kamiński","wyższe","Prawo i Sprawiedliwość",7,"Chełm",44195
153,"Piotr Kandyba","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",20,"Warszawa",15144
154,"Jan Kanthak","wyższe","Prawo i Sprawiedliwość",6,"Lublin",22037
155,"Fryderyk Sylwester Kapinos","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",18065
156,"Jacek Karnowski","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",55069
157,"Iwona Karolewska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",4,"Bydgoszcz",8572
158,"Rafał Kasprzyk","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",33,"Kielce",10907
159,"Henryk Kiepura","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",28,"Częstochowa",20665
160,"Marcin Kierwiński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",16,"Płock",51828
161,"Katarzyna Kierzek-Koperska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",39,"Poznań",20091
162,"Dariusz Klimczak","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",10,"Piotrków Trybunalski",21826
163,"Joanna Kluzik-Rostkowska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",17,"Radom",21218
164,"Agnieszka Maria Kłopotek","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",4,"Bydgoszcz",11049
165,"Łukasz Kmita","wyższe","Prawo i Sprawiedliwość",12,"Kraków",26062
166,"Michał Kobosko","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",19,"Warszawa",61452
167,"Maria Koc","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",70732
168,"Ewa Kołodziej","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",31,"Katowice",7283
169,"Magdalena Małgorzata Kołodziejczak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",25,"Gdańsk",12773
170,"Michał Kołodziejczak","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",37,"Konin",44062
171,"Rafał Komarewicz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",13,"Kraków",44808
172,"Maciej Konieczny","wyższe","Nowa Lewica",31,"Katowice",17901
173,"Zbigniew Konwiński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",26,"Słupsk",15538
174,"Władysław Kosiniak-Kamysz","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",15,"Tarnów",50139
175,"Tomasz Kostuś","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",21,"Opole",11857
176,"Andrzej Kosztowniak","wyższe","Prawo i Sprawiedliwość",17,"Radom",9755
177,"Katarzyna Kotula","wyższe","Nowa Lewica",25,"Gdańsk",33122
178,"Paweł Kowal","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",23,"Rzeszów",63534
179,"Henryk Kowalczyk","wyższe","Prawo i Sprawiedliwość",18,"Siedlce",30081
180,"Janusz Kowalski","wyższe","Prawo i Sprawiedliwość",21,"Opole",14593
181,"Bartosz Józef Kownacki","wyższe","Prawo i Sprawiedliwość",4,"Bydgoszcz",17135
182,"Iwona Maria Kozłowska","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",4,"Bydgoszcz",14514
183,"Stefan Krajewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",24,"Białystok",9803
184,"Wiesław Krajewski","wyższe","Prawo i Sprawiedliwość",15,"Tarnów",24838
185,"Leonard Krasulski","średnie ogólne","Prawo i Sprawiedliwość",34,"Elbląg",13948
186,"Iwona Małgorzata Krawczyk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",8831
187,"Michał Krawczyk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",6,"Lublin",12009
188,"Robert Kropiwnicki","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",1,"Legnica",31838
189,"Piotr Król","wyższe","Prawo i Sprawiedliwość",4,"Bydgoszcz",17952
190,"Wojciech Król","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",31,"Katowice",7136
191,"Anna Krupka","wyższe","Prawo i Sprawiedliwość",33,"Kielce",39854
192,"Andrzej Kryj","wyższe","Prawo i Sprawiedliwość",33,"Kielce",6968
193,"Mariusz Krystian","wyższe","Prawo i Sprawiedliwość",12,"Kraków",11366
194,"Marek Krząkała","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",30,"Bielsko-Biała",18605
195,"Adam Krzemiński","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",16,"Płock",6071
196,"Henryka Krzywonos-Strycharska","średnie ogólne","Koalicja Obywatelska PO .N IPL ZIELONI",26,"Słupsk",8460
197,"Krzysztof Kubów","wyższe","Prawo i Sprawiedliwość",1,"Legnica",15928
198,"Anita Kucharska-Dziedzic","wyższe","Nowa Lewica",8,"Zielona Góra",23051
199,"Marek Kuchciński","średnie policealne/pomaturalne","Prawo i Sprawiedliwość",22,"Krosno",50519
200,"Paweł Kukiz","średnie ogólne","Prawo i Sprawiedliwość",21,"Opole",43292
201,"Marcin Kulasek","wyższe","Nowa Lewica",35,"Olsztyn",11514
202,"Maria Kurowska","wyższe","Prawo i Sprawiedliwość",22,"Krosno",20813
203,"Władysław Kurowski","wyższe","Prawo i Sprawiedliwość",12,"Kraków",12320
204,"Zbigniew Krzysztof Kuźmiuk","wyższe","Prawo i Sprawiedliwość",17,"Radom",24702
205,"Anna Kwiecień","wyższe","Prawo i Sprawiedliwość",17,"Radom",34570
206,"Piotr Lachowicz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",14,"Nowy Sącz",12918
207,"Stanisław Lamczyk","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",26,"Słupsk",8722
208,"Maciej Lasek","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",20,"Warszawa",20565
209,"Gabriela Lenartowicz","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",30,"Bielsko-Biała",16515
210,"Ewa Leniart","wyższe","Prawo i Sprawiedliwość",23,"Rzeszów",38795
211,"Aleksandra Leo","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",2,"Wałbrzych",16661
212,"Izabela Leszczyna","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",28,"Częstochowa",60549
213,"Joanna Lichocka","wyższe","Prawo i Sprawiedliwość",11,"Sieradz",36060
214,"Krzysztof Lipiec","wyższe","Prawo i Sprawiedliwość",33,"Kielce",14962
215,"Łukasz Litewka","wyższe","Nowa Lewica",32,"Katowice",40579
216,"Grzegorz Lorek","wyższe","Prawo i Sprawiedliwość",10,"Piotrków Trybunalski",19711
217,"Radosław Lubczyk","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",40,"Koszalin",14353
218,"Katarzyna Anna Lubnauer","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",22529
219,"Adam Luboński","średnie ogólne","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",38,"Piła",8724
220,"Artur Jarosław Łącki","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",41,"Szczecin",6100
221,"Alicja Łepkowska-Gołaś","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",24,"Białystok",13511
222,"Dorota Łoboda","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",19,"Warszawa",10510
223,"Krystian Łuczak","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",5,"Toruń",16451
224,"Sebastian Łukaszewicz","wyższe","Prawo i Sprawiedliwość",24,"Białystok",11554
225,"Marzena Anna Machałek","wyższe","Prawo i Sprawiedliwość",1,"Legnica",18363
226,"Antoni Macierewicz","wyższe","Prawo i Sprawiedliwość",10,"Piotrków Trybunalski",32496
227,"Marlena Magdalena Maląg","wyższe","Prawo i Sprawiedliwość",36,"Kalisz",109870
228,"Ewa Malik","wyższe","Prawo i Sprawiedliwość",32,"Katowice",39498
229,"Mirosław Maliszewski","wyższe","Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe",17,"Radom",17857
230,"Maciej Małecki","wyższe","Prawo i Sprawiedliwość",16,"Płock",33696
231,"Arkadiusz Marchewka","wyższe","Koalicja Obywatelska PO .N IPL ZIELONI",41,"Szczecin",33222
